Datetime,Water Level (m)
2023-10-24 00:00:00,1.0094384
2023-10-24 01:00:00,1.2878981
2023-10-24 02:00:00,1.3377483
2023-10-24 03:00:00,1.1308994
2023-10-24 04:00:00,0.69124997
2023-10-24 05:00:00,0.07364905
2023-10-24 06:00:00,-0.6062988
2023-10-24 07:00:00,-1.089078
2023-10-24 08:00:00,-1.2716032
2023-10-24 09:00:00,-1.0582352
2023-10-24 10:00:00,-0.5389624
2023-10-24 11:00:00,0.05131615
2023-10-24 12:00:00,0.64226973
2023-10-24 13:00:00,0.9875126
2023-10-24 14:00:00,1.1699287
2023-10-24 15:00:00,1.1483111
2023-10-24 16:00:00,0.88876003
2023-10-24 17:00:00,0.45936927
2023-10-24 18:00:00,-0.13890065
2023-10-24 19:00:00,-0.7138118
2023-10-24 20:00:00,-1.0701548
2023-10-24 21:00:00,-1.1116817
2023-10-24 22:00:00,-0.75810266
2023-10-24 23:00:00,-0.13972554
2023-10-25 00:00:00,0.54887134
2023-10-25 01:00:00,1.2058997
2023-10-25 02:00:00,1.6368216
2023-10-25 03:00:00,1.6667701
2023-10-25 04:00:00,1.348681
2023-10-25 05:00:00,0.74048954
2023-10-25 06:00:00,-0.021982221
2023-10-25 07:00:00,-0.7894013
2023-10-25 08:00:00,-1.387272
2023-10-25 09:00:00,-1.6459453
2023-10-25 10:00:00,-1.4127364
2023-10-25 11:00:00,-0.71718925
2023-10-25 12:00:00,0.11871034
2023-10-25 13:00:00,0.8847426
2023-10-25 14:00:00,1.4739832
2023-10-25 15:00:00,1.739796
2023-10-25 16:00:00,1.6041145
2023-10-25 17:00:00,1.1607738
2023-10-25 18:00:00,0.47816864
2023-10-25 19:00:00,-0.32515475
2023-10-25 20:00:00,-1.0430739
2023-10-25 21:00:00,-1.4980197
2023-10-25 22:00:00,-1.4968594
2023-10-25 23:00:00,-0.9368582
2023-10-26 00:00:00,-0.0931434
2023-10-26 01:00:00,0.73068804
2023-10-26 02:00:00,1.4276173
2023-10-26 03:00:00,1.8380573
2023-10-26 04:00:00,1.7778332
2023-10-26 05:00:00,1.3474947
2023-10-26 06:00:00,0.6153574
2023-10-26 07:00:00,-0.25328058
2023-10-26 08:00:00,-1.0860919
2023-10-26 09:00:00,-1.6986276
2023-10-26 10:00:00,-1.8802353
2023-10-26 11:00:00,-1.4301667
2023-10-26 12:00:00,-0.5110059
2023-10-26 13:00:00,0.4324811
2023-10-26 14:00:00,1.2583092
2023-10-26 15:00:00,1.8560205
2023-10-26 16:00:00,2.0196118
2023-10-26 17:00:00,1.7521315
2023-10-26 18:00:00,1.1273926
2023-10-26 19:00:00,0.28659636
2023-10-26 20:00:00,-0.623029
2023-10-26 21:00:00,-1.389131
2023-10-26 22:00:00,-1.8171774
2023-10-26 23:00:00,-1.6795622
2023-10-27 00:00:00,-0.9054841
2023-10-27 01:00:00,0.074750714
2023-10-27 02:00:00,0.9609545
2023-10-27 03:00:00,1.65411
2023-10-27 04:00:00,1.9712998
2023-10-27 05:00:00,1.765426
2023-10-27 06:00:00,1.1840374
2023-10-27 07:00:00,0.34036604
2023-10-27 08:00:00,-0.59799725
2023-10-27 09:00:00,-1.4298326
2023-10-27 10:00:00,-1.9760432
2023-10-27 11:00:00,-1.9767703
2023-10-27 12:00:00,-1.2455878
2023-10-27 13:00:00,-0.18874304
2023-10-27 14:00:00,0.7873
2023-10-27 15:00:00,1.6216664
2023-10-27 16:00:00,2.1481414
2023-10-27 17:00:00,2.1547844
2023-10-27 18:00:00,1.7275072
2023-10-27 19:00:00,0.9334093
2023-10-27 20:00:00,-0.027586974
2023-10-27 21:00:00,-0.9834272
2023-10-27 22:00:00,-1.7303153
2023-10-27 23:00:00,-2.053352
2023-10-28 00:00:00,-1.6920148
2023-10-28 01:00:00,-0.7089011
2023-10-28 02:00:00,0.3221738
2023-10-28 03:00:00,1.1923839
2023-10-28 04:00:00,1.8113617
2023-10-28 05:00:00,1.9715064
2023-10-28 06:00:00,1.6181206
2023-10-28 07:00:00,0.9013182
2023-10-28 08:00:00,-0.0065275165
2023-10-28 09:00:00,-0.9652027
2023-10-28 10:00:00,-1.7472558
2023-10-28 11:00:00,-2.1534972
2023-10-28 12:00:00,-1.8887321
2023-10-28 13:00:00,-0.9077073
2023-10-28 14:00:00,0.20003596
2023-10-28 15:00:00,1.1778721
2023-10-28 16:00:00,1.9585044
2023-10-28 17:00:00,2.3103714
2023-10-28 18:00:00,2.119643
